KODE;NAMA;SEKTOR
13121;INDUSTRI PERTENUNAN (BUKAN PERTENUNAN KARUNG GONI DAN KARUNG LAINNYA);C
13122;INDUSTRI KAIN TENUN IKAT;C
13123;INDUSTRI BULU TIRUAN TENUNAN;C
13131;INDUSTRI PENYEMPURNAAN BENANG;C
13132;INDUSTRI PENYEMPURNAAN KAIN;C
13133;INDUSTRI PENCETAKAN KAIN;C
13134;INDUSTRI BATIK;C
13911;INDUSTRI KAIN RAJUTAN;C
13912;INDUSTRI KAIN SULAMAN/BORDIR;C
13913;INDUSTRI BULU TIRUAN RAJUTAN;C
13921;INDUSTRI BARANG JADI TEKSTIL UNTUK KEPERLUAN RUMAH TANGGA;C
13922;INDUSTRI BARANG JADI TEKSTIL SULAMAN;C
13923;INDUSTRI BANTAL DAN SEJENISNYA;C
13924;INDUSTRI BARANG JADI RAJUTAN DAN SULAMAN;C
13929;INDUSTRI BARANG JADI TEKSTIL LAINNYA;C
13930;INDUSTRI KARPET DAN PERMADANI;C
13941;INDUSTRI TALI;C
13942;INDUSTRI BARANG DARI TALI;C
13991;INDUSTRI KAIN PITA (NARROW FABRIC);C
13992;INDUSTRI YANG MENGHASILKAN KAIN KEPERLUAN INDUSTRI;C
13993;INDUSTRI NON WOVEN (BUKAN TENUNAN);C
13994;INDUSTRI KAIN BAN;C
13995;INDUSTRI KARUNG GONI;C
13996;INDUSTRI KARUNG BUKAN GONI;C
13997;INDUSTRI KAPUK;C
13999;INDUSTRI TEKSTIL LAINNYA YTDL;C
14111;INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL;C
14112;INDUSTRI PAKAIAN JADI (KONVEKSI) DARI KULIT;C
14120;PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN;C
14131;INDUSTRI PERLENGKAPAN PAKAIAN DARI TEKSTIL;C
14132;INDUSTRI PERLENGKAPAN PAKAIAN DARI KULIT;C
14200;INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU;C
14301;INDUSTRI PAKAIAN JADI RAJUTAN;C
14302;INDUSTRI PAKAIAN JADI SULAMAN/BORDIR;C
14303;INDUSTRI RAJUTAN KAOS KAKI DAN SEJENISNYA;C
15111;INDUSTRI PENGAWETAN KULIT;C
15112;INDUSTRI PENYAMAKAN KULIT;C
15113;INDUSTRI PENCELUPAN KULIT BULU;C
15114;INDUSTRI KULIT BUATAN/IMITASI;C
15121;INDUSTRI BARANG DARI KULIT DAN KULIT BUATAN UNTUK KEPERLUAN PRIBADI;C
15122;INDUSTRI BARANG DARI KULIT DAN KULIT BUATAN UNTUK KEPERLUAN TEKNIK/INDUSTRI;C
15123;INDUSTRI BARANG DARI KULIT DAN KULIT BUATAN UNTUK KEPERLUAN HEWAN;C
15129;INDUSTRI BARANG DARI KULIT DAN KULIT BUATAN UNTUK KEPERLUAN LAINNYA;C
15201;INDUSTRI ALAS KAKI UNTUK KEPERLUAN SEHARI-HARI;C
15202;INDUSTRI SEPATU OLAHRAGA;C
15203;INDUSTRI SEPATU TEKNIK LAPANGAN/KEPERLUAN INDUSTRI;C
15209;INDUSTRI ALAS KAKI LAINNYA;C
16101;INDUSTRI PENGGERGAJIAN KAYU;C
16102;INDUSTRI PENGAWETAN KAYU;C
16103;INDUSTRI PENGAWETAN ROTAN, BAMBU DAN SEJENISNYA;C
16104;INDUSTRI PENGOLAHAN ROTAN;C
16211;INDUSTRI KAYU LAPIS;C
16212;INDUSTRI KAYU LAPIS LAMINASI, TERMASUK DECORATIVE PLYWOOD;C
16213;INDUSTRI PANEL KAYU LAINNYA;C
16214;INDUSTRI VENEER;C
16221;INDUSTRI BARANG BANGUNAN DARI KAYU;C
16222;INDUSTRI BANGUNAN PRAFABRIKASI DARI KAYU;C
16230;INDUSTRI WADAH DARI KAYU;C
16291;INDUSTRI BARANG ANYAMAN DARI ROTAN DAN BAMBU;C
16292;INDUSTRI BARANG ANYAMAN DARI TANAMAN BUKAN ROTAN DAN BAMBU;C
16293;INDUSTRI KERAJINAN UKIRAN DARI KAYU BUKAN MEBELLER;C
16294;INDUSTRI ALAT DAPUR DARI KAYU, ROTAN DAN BAMBU;C
16295;INDUSTRI KAYU BAKAR DAN PELET KAYU;C
16299;INDUSTRI BARANG DARI KAYU, ROTAN, GABUS LAINNYA YTDL;C
17011;INDUSTRI BUBUR KERTAS (PULP);C
17012;INDUSTRI KERTAS BUDAYA;C
17013;INDUSTRI KERTAS BERHARGA;C
17014;INDUSTRI KERTAS KHUSUS;C
17019;INDUSTRI KERTAS LAINNYA;C
17021;INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG;C
17022;INDUSTRI KEMASAN DAN KOTAK DARI KERTAS DAN KARTON;C
17091;INDUSTRI KERTAS TISSUE;C
17099;INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA YTDL;C
18111;INDUSTRI PENCETAKAN UMUM;C
18112;INDUSTRI PENCETAKAN KHUSUS;C
18120;JASA PENUNJANG PENCETAKAN;C
18201;REPRODUKSI MEDIA REKAMAN SUARA DAN PIRANTI LUNAK;C
18202;REPRODUKSI MEDIA REKAMAN FILM DAN VIDEO;C
19100;INDUSTRI PRODUK DARI BATU BARA;C
19211;INDUSTRI PEMURNIAN DAN PENGILANGAN MINYAK BUMI;C
19212;INDUSTRI PEMURNIAN DAN PENGOLAHAN GAS ALAM;C
19213;INDUSTRI PEMBUATAN MINYAK PELUMAS;C
19214;INDUSTRI PENGOLAHAN KEMBALI MINYAK PELUMAS BEKAS;C
19291;INDUSTRI PRODUK DARI HASIL KILANG MINYAK BUMI;C
19292;INDUSTRI BRIKET BATU BARA;C
20111;INDUSTRI KIMIA DASAR ANORGANIK KHLOR DAN ALKALI;C
20112;INDUSTRI KIMIA DASAR ANORGANIK GAS INDUSTRI;C
20113;INDUSTRI KIMIA DASAR ANORGANIK PIGMEN;C
20114;INDUSTRI KIMIA DASAR ANORGANIK LAINNYA;C
20115;INDUSTRI KIMIA DASAR ORGANIK YANG BERSUMBER DARI HASIL PERTANIAN;C
20116;INDUSTRI KIMIA DASAR ORGANIK UNTUK BAHAN BAKU ZAT WARNA DAN PIGMEN, ZAT WARNA DAN PIGMEN;C
20117;INDUSTRI KIMIA DASAR ORGANIK YANG BERSUMBER DARI MINYAK BUMI, GAS ALAM DAN BATU BARA;C
20118;INDUSTRI KIMIA DASAR ORGANIK YANG MENGHASILKAN BAHAN KIMIA KHUSUS;C
20119;INDUSTRI KIMIA DASAR ORGANIK LAINNYA;C
20121;INDUSTRI PUPUK ALAM/NON SINTETIS HARA MAKRO PRIMER;C
20122;INDUSTRI PUPUK BUATAN TUNGGAL HARA MAKRO PRIMER;C
20123;INDUSTRI PUPUK BUATAN MAJEMUK HARA MAKRO PRIMER;C
20124;INDUSTRI PUPUK BUATAN CAMPURAN HARA MAKRO PRIMER;C
20125;INDUSTRI PUPUK HARA MAKRO SEKUNDER;C
20126;INDUSTRI PUPUK HARA MIKRO;C
20127;INDUSTRI PUPUK PELENGKAP;C
20129;INDUSTRI PUPUK LAINNYA;C
20131;INDUSTRI DAMAR BUATAN (RESIN SINTETIS) DAN BAHAN BAKU PLASTIK;C
20132;INDUSTRI KARET BUATAN;C
20211;INDUSTRI BAHAN BAKU PEMBERANTAS HAMA (BAHAN AKTIF);C
20212;INDUSTRI PEMBERANTAS HAMA (FORMULASI);C
20213;INDUSTRI ZAT PENGATUR TUMBUH;C
20214;INDUSTRI BAHAN AMELIORAN (PEMBENAH TANAH);C
20221;INDUSTRI CAT DAN TINTA CETAK;C
20222;INDUSTRI PERNIS (TERMASUK MASTIK);C
20223;INDUSTRI LAK;C
